EAL: Detected lcore 0 as core 0 on socket 0
EAL: Detected lcore 1 as core 8 on socket 0
EAL: Detected lcore 2 as core 2 on socket 0
EAL: Detected lcore 3 as core 10 on socket 0
EAL: Detected lcore 4 as core 1 on socket 0
EAL: Detected lcore 5 as core 9 on socket 0
EAL: Detected lcore 6 as core 0 on socket 0
EAL: Detected lcore 7 as core 8 on socket 0
EAL: Detected lcore 8 as core 2 on socket 0
EAL: Detected lcore 9 as core 10 on socket 0
EAL: Detected lcore 10 as core 1 on socket 0
EAL: Detected lcore 11 as core 9 on socket 0
EAL: Support maximum 128 logical core(s) by configuration.
EAL: Detected 12 lcore(s)
EAL: VFIO modules not all loaded, skip VFIO support...
EAL: Setting up memory...
EAL: Ask a virtual area of 0x200000 bytes
EAL: Virtual area found at 0x7f9a81600000 (size = 0x200000)
EAL: Ask a virtual area of 0x200000 bytes
EAL: Virtual area found at 0x7f9a81200000 (size = 0x200000)
EAL: Ask a virtual area of 0x2a400000 bytes
EAL: Virtual area found at 0x7f9a56c00000 (size = 0x2a400000)
EAL: Ask a virtual area of 0x200000 bytes
EAL: Virtual area found at 0x7f9a56800000 (size = 0x200000)
EAL: Ask a virtual area of 0x200000 bytes
EAL: Virtual area found at 0x7f9a56400000 (size = 0x200000)
EAL: Ask a virtual area of 0x55200000 bytes
EAL: Virtual area found at 0x7f9a01000000 (size = 0x55200000)
EAL: Ask a virtual area of 0x200000 bytes
EAL: Virtual area found at 0x7f9a00c00000 (size = 0x200000)
EAL: Requesting 1024 pages of size 2MB from socket 0
EAL: TSC frequency is ~2400085 KHz
EAL: Master lcore 0 is ready (tid=8742d900;cpuset=[0])
PMD: ENICPMD trace: rte_enic_pmd_init
EAL: PCI device 0000:06:00.0 on NUMA socket -1
EAL:   probe driver: 8086:1521 rte_igb_pmd
EAL:   Not managed by a supported kernel driver, skipped
EAL: PCI device 0000:06:00.1 on NUMA socket -1
EAL:   probe driver: 8086:1521 rte_igb_pmd
EAL:   Not managed by a supported kernel driver, skipped
EAL: PCI device 0000:09:00.0 on NUMA socket -1
EAL:   probe driver: 8086:1528 rte_ixgbe_pmd
EAL:   PCI memory mapped at 0x7f9a81800000
EAL:   PCI memory mapped at 0x7f9a81a00000
PMD: eth_ixgbe_dev_init(): MAC: 4, PHY: 3
PMD: eth_ixgbe_dev_init(): port 0 vendorID=0x8086 deviceID=0x1528
EAL: PCI device 0000:09:00.1 on NUMA socket -1
EAL:   probe driver: 8086:1528 rte_ixgbe_pmd
EAL:   Not managed by a supported kernel driver, skipped
Promiscuous mode selected
Initializing port 0 ... Creating queues: nb_rxq=1 nb_txq=1...  Address:A0:36:9F:68:FC:F4, Allocated mbuf pool on socket 0
Hash: Adding 0x4 keys
txq=0,0,0 PMD: ixgbe_dev_tx_queue_setup(): sw_ring=0x7f9a576f4cc0 hw_ring=0x7f9a81641500 dma_addr=0x92c41500
PMD: ixgbe_set_tx_function(): Using simple tx code path
PMD: ixgbe_set_tx_function(): Vector tx enabled.


Initializing rx queues on lcore 0 ... rxq=0,0,0 PMD: ixgbe_dev_rx_queue_setup(): sw_ring=0x7f9a576f4440 hw_ring=0x7f9a81651500 dma_addr=0x92c51500


--------------setup detection----------------thread id 0
PMD: ixgbe_set_rx_function(): Vector rx enabled, please make sure RX burst size no less than 32.





PROMISCOUS 

Checking link status.......packets/s 	 0 	 bytes/s 	 0
..........packets/s 	 0 	 bytes/s 	 0
..........packets/s 	 0 	 bytes/s 	 0
..........packets/s 	 0 	 bytes/s 	 0
..........packets/s 	 0 	 bytes/s 	 0
done
Port 0 Link Up - speed 10000 Mbps - full-duplex
L3FWD: entering main loop on lcore 0
L3FWD:  -- lcoreid=0 portid=0 rxqueueid=0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
packets/s 	 0 	 bytes/s 	 0
